Term,Part of Speech,Definition,Example,Status
"IP Address","noun","A unique string of numbers separated by periods that identifies each computer using the Internet Protocol.","My computer's IP address allows it to communicate on the network.","new"
"Router","noun","A networking device that forwards data packets between computer networks.","The router directed the internet traffic to all the devices in our home.","new"
"Switch","noun","A device in a computer network that connects other devices together by using packet switching to receive and forward data to the destination device.","We connected all office computers to a central switch.","new"
"Bandwidth","noun","The maximum rate of data transfer across a given path.","Upgrading our internet plan gave us more bandwidth for video calls.","new"
"Latency","noun","The delay before a transfer of data begins following an instruction for its transfer.","Gamers prefer low latency to ensure their actions are registered immediately.","new"
"MAC Address","noun","A unique identifier assigned to a network interface controller for use as a network address in communications within a network segment.","The router uses the MAC address to assign a static IP to my laptop.","new"
"DNS","noun","Domain Name System; the internet's system for converting alphabetic names into numeric IP addresses.","When you type a URL, DNS translates it into an IP address.","new"
"Protocol","noun","A set of rules governing the exchange or transmission of data between devices.","HTTP is a protocol used for transferring web pages on the internet.","new"
"Firewall","noun","A network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.","Our corporate firewall blocks access to malicious websites.","new"
"Subnet Mask","noun","A 32-bit number that masks an IP address and divides the IP address into network address and host address.","The subnet mask 255.255.255.0 is commonly used for local home networks.","new"
